test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/validator/VarTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,1,0,0.0,0.008,1562679279.213099,1,1,1,1,14,1,9,3,1,0,2,4,4,4,0,4,0,0,2,2,107,19,46,17,32,42,36,41,17,24,1,1,1,1,0,0.91,4,4,4,4
org/apache/commons/validator/MultipleConfigFilesTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,5,0,0.0,0.045,1562679279.2370028,1,1,1,1,30,5,15,8,1,0,2,7,7,7,1,7,0,0,1,6,267,55,119,47,95,93,97,106,46,60,2,2,2,1,1,0.78,8,8,8,7
org/apache/commons/validator/FieldTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,9,0,0.0,0.002,1562679279.253542,1,1,1,1,13,1,8,3,1,0,0,17,17,17,1,17,0,4,0,13,284,54,146,25,107,84,110,128,25,103,1,1,1,1,0,0.58,17,17,17,17
org/apache/commons/validator/RetrieveFormTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,5,0,0.0,0.204,1562679279.271554,1,1,1,1,19,5,7,6,1,0,2,9,9,9,1,9,0,2,1,6,232,62,81,29,53,89,56,67,29,38,2,2,2,1,1,1.1,10,10,10,9
org/apache/commons/validator/ValidatorTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,4,0,0.0,0.006,1562679279.287428,1,1,1,1,19,4,13,2,2,2,0,12,12,10,2,12,0,1,0,11,286,67,173,63,129,46,124,145,63,82,3,3,5,3,2,0.27,19,19,21,14
org/apache/commons/validator/ExtensionTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,8,0,0.0,0.045,1562679279.3080268,1,1,1,1,26,5,13,7,1,0,4,11,11,11,1,11,0,0,2,9,363,78,158,60,129,127,129,143,60,83,2,2,2,1,1,0.8,12,12,12,11
org/apache/commons/validator/DateTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,2,0,0.0,0.012,1562679279.3276749,1,1,1,1,12,1,5,5,1,0,0,5,5,5,2,5,0,0,2,3,111,19,36,17,20,56,24,30,17,13,3,3,3,1,0,1.56,7,7,7,5
org/apache/commons/validator/RequiredNameTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,6,0,0.0,0.04,1562679279.341625,1,1,1,1,24,4,12,7,1,0,2,9,9,9,0,9,0,0,2,7,267,59,117,45,94,91,97,107,45,62,1,1,1,1,0,0.78,9,9,9,9
org/apache/commons/validator/EmailTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,10,0,0.0,0.083,1562679279.358706,1,1,1,1,19,2,12,5,1,0,2,15,15,15,1,15,0,1,1,13,428,52,260,102,221,116,159,177,39,138,3,3,3,1,1,0.45,19,19,19,15
org/apache/commons/validator/MultipleTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,8,0,0.0,0.042,1562679279.37778,1,1,1,1,27,5,13,8,1,0,2,11,11,11,0,11,0,0,2,9,354,82,150,53,123,122,126,138,53,85,1,1,1,1,0,0.81,11,11,11,11
