"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"e0310e15c4cc157e944d047fea9aede327ab594d",7,2,0.224,4.776
"dd86760dce1d09cf7b223db77d9470326b566366",5,1,0.264,3.7359999999999998
"e21c0af594f1d4ac7a1e1946e555bb829ae00a0c",6,1,0.212,4.788
"114830d0f1c0ae96b9b546849e2766694fd3e1e4",6,1,0.307,4.693
"1a3a1b306faec5e317c8be2ebb9e54244f6ab57d",6,1,0.31700000000000006,4.683
"19478daf74e7a8a33c8705dc742cbc86a27ea91d",7,2,0.493,4.507
"0dedfd955d332edb9c265f45e9819461bcdd0979",7,2,1.032,3.968
"88822456dd707763d6cc41ee4efdaf5f8bf44d60",6,1,0.038,4.962
"211bbdffa3b35dd49d1b85ba4a86faf4dbd5ba44",6,2,0.010000000000000002,3.99
"16b3e3e100c00cc3a5eea20d2bd2aecfad55754f",6,1,0.31,4.6899999999999995
"0951540e669bc5b0f332bd821a269d409c9fa6bb",7,2,0.557,4.443
"717ff5c9380bafc945340c4ff46ef8b5129e0359",7,2,0.207,4.793
"8c9b7a34de76e2412734cb49f6d48887877a46e2",6,1,0.010000000000000002,4.99
"a078eee32106eb0c24527b7dcd4b045bd8e6cc0a",12,3,3.466,5.534
"026d5047d108ddd36bd807a3c119dd5057814161",9,1,2.8890000000000002,5.111
"982ece6cf0e165bab50586020cf845d20e0a68f0",13,4,3.5069999999999992,5.493
"f5b26b6aa2b1ab2cb3e7587d0940991b577e1511",7,2,0.268,4.732
"01a0540a78f58f4d69cbf01adfc387874bad0706",8,3,0.206,4.7940000000000005
"28e7813133a8de8ded191fb6e010123a8e087cd9",7,2,0.522,4.478
"fc393f7bdf6c971cb0dcd977d3015ad5ce524149",10,4,0.47300000000000003,5.527
"ace1dc41eb128bc0de794b376f446d276f80ef72",7,2,0.321,4.679
"07639a36fa0cec75b4d513b27bbefbedb9fc46d1",8,3,0.619,4.381
"a5aba02f5ff8a1b53147488324bdb11c2dad561f",6,1,0.444,4.556
"abbaedb43f52aeb6ca5b494e8ec10d60e430f517",6,1,0.353,4.647
"6d151e706834e7b1ba831e9d3607156996f694ca",7,2,0.35100000000000003,4.649
"9c9a659e747a47986a2f310e773b253f662dc234",7,2,0.32200000000000006,4.678
"08f16c137ec17058350c03fa7eb9068377644c6a",6,1,0.37799999999999995,4.622
"a3a31a19b6478800a0a71273012492385f6ab4ce",6,1,0.391,4.609
"332615685c04e908fd8d752a2af4a8ee8287564c",7,1,0.319,5.681
"03fd13821d6f12e60af9de8959584975376c6b36",7,1,0.37599999999999995,5.6240000000000006
"f2e7938365b6256e6f1a323602aa63d5df346ab1",7,2,0.47300000000000003,4.527
"3340c3582a5d28eb0bc02354c4860d594bd18ce1",7,2,0.456,4.5440000000000005
"9b5a2e0a60ed9ba66770fee64cc7bd25e20e2c02",7,1,0.316,5.684
"2dfd03934382a9dba4c39dd248b8b6adbeb181e5",6,1,0.374,4.6259999999999994
"531b5dcb45b80f1d72a305603e32105962b14ce7",7,2,0.42100000000000004,4.579
"fdb6743af113595cde1a722305ca571f27d03d41",7,2,0.644,4.356
"d915d755d1befffaac3a54ed667c05d6b6b74554",6,1,0.406,4.593999999999999
"c45a7d3ac48e5e10551b9c98a73b6cd8e1a06958",7,2,0.664,4.336
"33b47aa139c7a1a7bca6d56d37acaa3ed963eb35",7,2,0.417,4.583
"5912d28fa0116ed7a284b6f550630a0ac054e33a",6,1,0.402,4.598
"28692752c2a23fb3afa855ee22a26877ddc8bc06",6,1,0.388,4.612
"1f5240e5f0a7c18e93dc68ee53c4a4ff9b6dfd69",7,2,0.39,4.609999999999999
"b72d9cb7c21bcfe225b360f07268e96f5e42fd06",6,1,0.396,4.604
"5d758fa487d0eeea19fec8209a72dd2744207e3b",6,1,0.663,4.337
"f19882640438eea87c8ac66724c1acc1e1459d3b",7,2,0.41,4.59
"554058f5dca897586217fd9bc30fa9ff266a6584",9,2,2.85,4.15
"b0abc067a8a5110211c4aaccc360f5087a78d3d5",9,3,1.2590000000000001,4.741
"031beb1467137e9ded0980767e51cea8c7cdfb69",6,1,0.023,4.977
"715eeae35c5e70695580a959b54d0e08f6a54a8c",5,1,0.013,3.987
"774607a6dc2a17869c9d96577fc45feead9be394",6,1,0.482,4.518
"81a9aa634ad54c424c958595e73151395fe34ab7",6,1,0.676,4.324
"b8e9258ae55a83f35f90f6a333dd167dee014675",7,2,0.6539999999999999,4.346
"914185bab8af0db467219526b7f04f9c8934bae0",7,1,0.648,5.352
"e1232cdff4ed4dc5157aa0ce03ad5c6d941cf7e2",6,1,0.4,4.6
"176957dc93615f8d0760b354f149af4d8944ad9d",6,1,0.012,4.9879999999999995
"dbb4fe76bfb52518173c4c24e045ead9be1749ab",6,1,0.219,4.781
"e74f18036edac56b093edeb0a9715c8399197b5d",6,2,0.22,3.78
"f863635731ad0a43e4fa62030bc9c745849fb6bb",6,1,0.46599999999999997,4.534
"ab25ca771e463eb6fb0bac8b1866ae670e8e92c0",6,1,0.029,4.971
"2c3ce2826244217eeaea4ccf4539d3ab104f725f",7,2,0.337,4.663
"6ba17fe1b8c84b954a3d19f126618e6c549c6d45",7,2,0.206,4.7940000000000005
"65ff8044c2730ba23d373d8b5b978079b7f08968",6,1,0.005,4.995
"4de27c34ddc68b27d30c7ffabf248ff07c898870",6,1,0.008,4.992
"04955ba87e328cd639d7248bf8d72b413613679c",6,1,0.006,4.994
"55a0c64a1d75cab8930bcaad6fee3d62c10ac916",6,1,0.016,4.984
"119ba35de96fbbe23876a8b9495292dc4c45dd84",7,2,0.295,4.705
"1137bb8a9c91cabdb65951c164819ea049ce845b",7,1,0.6639999999999999,5.336
"ca5047cdc0a682af5db270423cc8705f2820d91d",6,1,0.415,4.585
"bedf8732cf2d09f4d5fd1360e2f23e7891af48aa",7,2,0.31700000000000006,4.683
"e4bc91c1bad25225cf335c1a8ecdf920f79a1f90",7,2,0.016,4.984
"9e2f9e8f0062bce5a31988c8b01d638061b39dc1",6,1,0.005,4.995
"11dc48317f0a145a8f84c26f2780f6a8b823a829",6,1,0.030000000000000002,4.97
"c1e0ec2ef4af22f490391871fed4339530717f7d",8,3,0.12300000000000001,4.877
"4c9b2228297650d9c7aeacbe31912ba241adfb38",7,1,0.409,5.591
"ae4ea77b9f08e6d2282f1c373379b156cd184271",6,1,0.005,4.995
"bc9cfb6f0f630b705c8e9aa3ec79dd9c1c51f93b",7,1,0.22199999999999998,5.7780000000000005
"c6ad7fb90702a9103a3f565be0faac8ad5303b9f",6,1,0.02,4.98
"ab1ee1b68b15234b62a840c4b1f6d2485d771450",26,16,3.8429999999999995,6.157
"885806d5ab409034079fadd2107049fad17808e1",6,1,0.014,4.986
"680ce0b52f5124c652329525ed60087e83f22540",11,3,3.6670000000000003,4.333
"40f4e917f076147faf2492fd3cd837937476295c",6,1,0.014,4.986
"55a865b17bc1d1de321dd12605edc4ae8308d5b1",14,4,4.0169999999999995,5.9830000000000005
"382d41d7b5ebfa324e5e5fe08ad3709a2c0132a5",7,1,0.004,5.996
"78856d8417f9c63c2b6a5616f27df06b1e462ed9",7,2,0.017,4.9830000000000005
"a408bf65949670393896e202077bc70ee89c3956",6,1,0.018000000000000002,4.982
"7a560b28c8acde0f75cd274f6d9a50ab02b2ac26",6,1,0.018000000000000002,4.982
"77ceca23f1e9370daa9866f3cda5e5b758370623",9,3,0.202,5.798
"50c63317be1a98a8a543217ca38036c71e4ada01",6,1,0.01,4.99
"ba1efb71a4c736b30eabee639f3e9d8c17d0bb02",9,2,2.644,4.356
"bd99b9adc1c94b787d110046e68d9df8b851530a",6,1,0.014,4.986
"fa32d5d67aebc35b120356a003202ea32dd34755",9,2,0.033,6.9670000000000005
"b8a168df404754ba324f743dd710e0f654aae201",11,3,0.28700000000000003,7.713
"c8742a898db78494c0da82dddbbc39f0fa92ad38",10,3,0.267,6.7330000000000005
"4ed92ebd457a4ba964585b8c669e436cc99c69de",8,1,0.02,6.98
